Date,Num1,Num2,Num3,Num4,Num5,StarBall
2024-10-21,20,24,4,26,1,4
2024-10-19,3,28,34,10,47,4
2024-10-16,33,2,16,52,21,4
2024-10-14,43,6,51,25,31,4
2024-10-12,37,49,11,15,36,7
2024-10-09,18,51,40,28,32,4
2024-10-07,8,26,45,28,39,10
2024-10-05,32,15,36,17,8,2
2024-10-02,8,17,28,20,10,4
2024-09-30,30,29,24,51,28,10
2024-09-28,13,47,12,48,51,10
2024-09-25,5,31,13,52,10,8
2024-09-23,15,23,22,35,13,9
2024-09-21,1,45,8,37,4,7
2024-09-18,29,45,7,17,42,5
2024-09-16,41,4,44,52,16,5
2024-09-14,9,42,6,38,50,4
2024-09-11,12,9,2,10,24,7
2024-09-09,40,1,24,10,20,1
2024-09-07,4,9,1,37,33,10
2024-09-04,28,30,7,9,31,3
2024-09-02,3,39,6,7,27,3
2024-08-31,32,42,51,18,17,6
2024-08-28,46,28,7,52,41,4
2024-08-26,38,23,42,44,43,10
2024-08-24,19,21,28,32,3,4
2024-08-21,6,41,46,25,45,1
2024-08-19,41,21,49,16,48,4
2024-08-17,4,38,26,50,42,9
2024-08-14,32,8,11,15,42,6
2024-08-12,27,9,28,52,24,3
2024-08-10,6,42,41,40,19,5
2024-08-07,44,42,51,24,15,4
2024-08-05,13,21,33,38,29,2
2024-08-03,43,5,21,42,10,10
2024-07-31,51,27,49,15,28,1
2024-07-29,52,1,51,44,26,4
2024-07-27,9,45,17,15,42,2
2024-07-24,36,8,40,31,11,6
2024-07-22,43,2,15,52,12,1
2024-07-20,7,16,6,13,36,1
2024-07-17,44,9,15,49,6,3
2024-07-15,1,40,41,7,10,9
2024-07-13,49,34,27,8,20,9
2024-07-10,21,25,42,51,6,4
2024-07-08,40,5,22,46,21,5
2024-07-06,42,38,25,15,11,5
2024-07-03,49,6,7,37,46,10
2024-07-01,18,7,36,37,43,9
2024-06-29,22,15,21,42,10,3
2024-06-26,12,27,11,48,38,6
2024-06-24,18,6,22,25,35,1
2024-06-22,39,26,37,1,44,1
2024-06-19,19,24,51,21,44,8
2024-06-17,29,28,35,3,12,3
2024-06-15,32,36,26,49,31,1
2024-06-12,44,30,3,11,16,8
2024-06-10,5,11,14,26,25,9
2024-06-08,37,5,45,23,7,3
2024-06-05,3,15,43,17,49,7
2024-06-03,38,33,22,6,5,4
2024-06-01,19,29,39,13,15,5
2024-05-29,11,36,8,9,29,3
2024-05-27,32,51,9,40,25,5
2024-05-25,29,17,40,12,27,10
2024-05-22,15,2,43,5,41,5
2024-05-20,13,26,15,27,24,3
2024-05-18,33,9,8,7,12,9
2024-05-15,27,47,51,25,17,10
2024-05-13,16,26,47,1,15,4
2024-05-11,15,50,16,27,51,3
2024-05-08,38,47,11,5,18,5
2024-05-06,6,3,11,17,30,10
2024-05-04,25,11,42,5,37,5
2024-05-01,19,26,40,24,14,7
2024-04-29,32,14,50,3,31,1
2024-04-27,16,9,39,13,48,3
2024-04-24,22,17,7,12,52,3
2024-04-22,52,19,38,28,33,7
2024-04-20,15,14,11,31,6,5
2024-04-17,10,38,24,29,20,1
2024-04-15,52,2,12,18,23,4
2024-04-13,9,29,7,10,38,2
2024-04-10,33,2,47,21,15,7
2024-04-08,24,32,38,28,29,8
2024-04-06,23,2,42,35,32,7
2024-04-03,16,11,20,27,47,4
2024-04-01,16,44,41,32,6,3
2024-03-30,34,9,17,52,48,5
2024-03-27,22,34,9,31,30,5
2024-03-25,43,35,19,40,32,4
2024-03-23,7,41,52,12,5,4
2024-03-20,50,3,16,29,44,7
2024-03-18,44,24,23,19,31,2
2024-03-16,11,51,43,30,47,4
2024-03-13,23,41,34,33,50,7
2024-03-11,12,15,16,32,46,1
2024-03-09,37,52,33,27,3,9
2024-03-06,40,20,21,42,24,4
2024-03-04,8,22,4,47,5,6
2024-03-02,19,35,38,9,45,3
2024-02-28,37,16,18,46,25,7
2024-02-26,49,21,38,30,36,1
2024-02-24,10,52,33,19,30,10
2024-02-21,6,26,2,43,40,1
2024-02-19,4,41,14,37,31,8
2024-02-17,6,33,10,14,8,5
2024-02-14,2,45,3,15,16,10
2024-02-12,13,14,52,22,31,2
2024-02-10,21,18,1,3,42,8
2024-02-07,2,17,25,20,5,9
2024-02-05,24,15,1,29,17,2
2024-02-03,48,34,10,40,47,1
2024-01-31,48,39,30,3,38,8
2024-01-29,9,51,15,5,50,1
2024-01-27,22,47,13,51,46,4
2024-01-24,29,15,47,13,10,7
2024-01-22,31,39,18,22,50,2
2024-01-20,44,11,24,7,23,3
2024-01-17,16,9,23,14,40,5
2024-01-15,29,38,41,28,52,8
2024-01-13,30,38,46,9,6,1
